Sampling date(mm/dd/yyyy)	Field	Experiment number	plot number	Ntrt	NAdd(g/m2/yr)	BurnTrt	Species Name	Species Biomass (g/m2)	Maximum plant height (cm)	Median plant height (cm)	Subplot	LastYrNtrtRec
8/4/1982	A	2	34	1	0	0	Agropyron repens	35.333	50	30	Whole	1991
8/4/1982	A	2	34	1	0	0	Setaria lutescens	175.267	101	68	Whole	1991
8/4/1982	A	2	34	1	0	0	Panicum capillare	7.833	62	38	Whole	1991
8/4/1982	A	2	35	2	3	0	Berteroa incana	9.6	41	41	Whole	1982
8/4/1982	A	2	35	2	3	0	Polygonum convolvulus	13.867	-2	-2	Whole	1982
8/4/1982	A	2	35	2	3	0	Ambrosia artemisiifolia	13.233	53	53	Whole	1982
8/4/1982	A	2	35	2	3	0	Setaria lutescens	89.867	103	46	Whole	1982
8/4/1982	A	2	35	2	3	0	Agropyron repens	60.2	47	32	Whole	1982
8/4/1982	A	2	35	2	3	0	Euphorbia (supina)	0.663	-2	-2	Whole	1982
8/4/1982	A	2	36	3	6	0	Berteroa incana	55.733	70	65	Whole	1991
8/4/1982	A	2	36	3	6	0	Erigeron canadensis	2.767	54	54	Whole	1991
8/4/1982	A	2	36	3	6	0	Euphorbia (supina)	6.033	-2	-2	Whole	1991
8/4/1982	A	2	36	3	6	0	Setaria lutescens	27.367	63	50	Whole	1991
8/4/1982	A	2	36	3	6	0	Chenopodium album	38.167	73	73	Whole	1991
8/4/1982	A	2	36	3	6	0	Agropyron repens	61.033	84	53	Whole	1991
8/4/1982	A	2	36	3	6	0	Miscellaneous litter	0	-3	-3	Whole	1991
8/4/1982	A	2	36	3	6	0	Ambrosia artemisiifolia	131.733	85	75	Whole	1991
8/4/1982	A	2	36	3	6	0	Panicum capillare	1.8	31	30.3	Whole	1991
8/4/1982	A	2	36	3	6	0	Polygonum convolvulus	31.4	-2	-2	Whole	1991
8/4/1982	A	2	36	3	6	0	Setaria viridis	0.98	19	19	Whole	1991
8/4/1982	A	2	36	3	6	0	Mollugo verticillata	0.177	4.5	4.5	Whole	1991
8/4/1982	A	2	36	3	6	0	Digitaria ischaemum	0.127	22	22	Whole	1991
8/4/1982	A	2	37	9	0	0	Panicum capillare	0.12	13	13	Whole	1982
